Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;IsOpenFrenchChampionship;OpenAthletes;DepthBand;MaintainedFromPreviousYear;EntrantsOrReturns;ReturnsAfterGap;NewInObservedWindow;RecentU21Athletes;OneCompetitionAthletes;OpenNextYear;OpenNextYearRatePercent;EntrantsOpenNextYear;EntrantNextYearRatePercent;AthleteKeys
2023;23FRA025;6-7 Jul 2023;Magic Trophy;INTER;L;Nemours Grez/l...;0;3;3_4;;;;;0;0;2;66.7;;;FRA|1995|DAUZONNE SACHA | FRA|2000|D ANGLEJAN THOMAS | FRA|2001|MOREL BENJAMIN
2023;23FRA026;9-10 Sep 2023;Viry Lake's challenge #5;INTER;L;Club Nautique ...;0;2;1_2;;;;;1;1;2;100.0;;;FRA|1992|FRAISSE ROMAIN | FRA|2003|GERMON THEO
2023;23FRA027;8-9 Jul 2023;Championnats de Ligue Ile de France;INTER;L;Club Nautique ...;0;4;3_4;;;;;0;0;3;75.0;;;FRA|1991|MARTINI MARIE | FRA|1992|FRAISSE ROMAIN | FRA|1994|BISCHOFBERGER OSCAR | FRA|1999|MOULANIER MARIE-LOU
2023;23FRA033;26-27 Aug 2023;Memorial M.Naudinat Ch de Ligue NAQU;INTER;L;St Pardoux;0;2;1_2;;;;;0;0;1;50.0;;;FRA|1989|JAMIN ROLAND | FRA|1994|COINTEPAS THOMAS
2023;23FRA034;29-30 Jul 2023;Championnats du Mont de Laroche;NAT;N;Association Sp...;0;2;1_2;;;;;0;0;2;100.0;;;FRA|1995|GROISEAU AUDE | FRA|1995|PANTIGNY LILYAN
2023;23FRA035;26-27 Aug 2023;Championnat de ligue OCC Ski Classique;INTER;N;Blagnac Ski Na...;0;3;3_4;;;;;0;1;0;0.0;;;FRA|1995|ROSSETTO TIMOTHEE | FRA|2001|CONSTANS LEA | FRA|2001|MIQUEL AUDE
2024;24FRA001;22-23 Jun 2024;The Fungliss Pro Am;INTER;R;FUNGLISS DOMMA...;0;2;1_2;2;0;0;0;0;0;2;100.0;0;0.0;FRA|1987|WELTER CLAIRE-LISE | FRA|1992|DESCUNS SACHA
2024;24FRA002;14-15 Sep 2024;Viry Lake's challenge #6;INTER;L;Club Nautique ...;0;2;1_2;2;0;0;0;1;2;2;100.0;0;0.0;FRA|1992|FRAISSE ROMAIN | FRA|2003|GERMON THEO
2024;24FRA003;26-27 Oct 2024;Frozen Magic JG;INTER;L;Nemours Grez/l...;0;6;5_9;4;2;0;2;0;0;6;100.0;2;100.0;FRA|1986|PIEDNOEL ANTOINE | FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1995|DELVAQUE CONSTANTIN | FRA|2001|ROUSSELOT NICOLAS
2024;24FRA004;11-12 May 2024;Magic Cup;INTER;L;Nemours Grez/l...;0;4;3_4;4;0;0;0;0;0;4;100.0;0;0.0;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|D ANGLEJAN THOMAS | FRA|2001|ROUSSELOT NICOLAS
