Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;SLALOM;FRA|2010|MOREL MELITINE;MOREL Melitine;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;FIGURES;FRA|2010|MOREL MELITINE;MOREL Melitine;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;SAUT;FRA|2010|MOREL MELITINE;MOREL Melitine;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;COMBINE;FRA|2010|MOREL MELITINE;MOREL Melitine;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;F;12;;SLALOM;FRA|2011|NAEL TESSA;NAEL Tessa;FRA;1;-12 F (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;F;12;;FIGURES;FRA|2011|NAEL TESSA;NAEL Tessa;FRA;1;-12 F (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;F;12;;SAUT;FRA|2011|NAEL TESSA;NAEL Tessa;FRA;1;-12 F (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;F;12;;COMBINE;FRA|2011|NAEL TESSA;NAEL Tessa;FRA;1;-12 F (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SLALOM;FRA|2009|NEYRAC QUENTIN;NEYRAC Quentin;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;FIGURES;FRA|2009|NEYRAC QUENTIN;NEYRAC Quentin;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SAUT;FRA|2009|NEYRAC QUENTIN;NEYRAC Quentin;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;COMBINE;FRA|2009|NEYRAC QUENTIN;NEYRAC Quentin;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;F;15;;SLALOM;POR|2008|NOBRE GUEDES ANA;NOBRE GUEDES Ana;POR;0;-17 F (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;SLALOM;FRA|2011|ORTS ELVIS;ORTS Elvis;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;FIGURES;FRA|2011|ORTS ELVIS;ORTS Elvis;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;SAUT;FRA|2011|ORTS ELVIS;ORTS Elvis;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;COMBINE;FRA|2011|ORTS ELVIS;ORTS Elvis;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SLALOM;FRA|2009|POITOUX CHRISTMANN CHARLES;POITOUX CHRISTMANN Charles;FRA;1;-14 M (14)
