"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"7-8 Jun 2025";"Waterski";"INTER";"L";"FRA";"Ezylake's cup";"";"Ezylake";"25FRA021";"";"https://ems.iwwf.sport/Competitions/Details?Id=fe0aac14-fc84-4b1a-acd5-f1f7bdd65ceb"
"4 Jul 2025";"Waterski";"INTER";"L";"FRA";"Aquacup (2+1)";"";"Aqu'Aventure";"25FRA022";"";"https://ems.iwwf.sport/Competitions/Details?Id=56628b2c-9f98-4c17-a396-49cd215bbbd5"
"14-15 Jun 2025";"Waterski";"INTER";"L";"FRA";"Tours 3D Event - Championnat de ligue CVL";"";"Touraine Ski ...";"25FRA023";"";"https://ems.iwwf.sport/Competitions/Details?Id=cdee4c3f-9db8-4a89-b7ff-6f125c3bc0dc"
"23-24 Aug 2025";"Waterski";"INTER";"L";"FRA";"Biggie's International + senior tour stop 4";"";"Ezylake";"25FRA024";"";"https://ems.iwwf.sport/Competitions/Details?Id=9fc06e07-30dd-419b-a4b5-a70c5aaa4cd0"
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"Legends of Ezylake";"";"Ezylake";"25FRA025";"";"https://ems.iwwf.sport/Competitions/Details?Id=3ff1e597-6606-427c-adc2-224c165740ed"
"30-31 Aug 2025";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbeliard- Championnat Ligue BFC";"";"Ski nautique M...";"25FRA026";"";"https://ems.iwwf.sport/Competitions/Details?Id=52d02548-5af8-48ae-8a9b-7a75447c48e9"
"5-6 Jul 2025";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 25";"";"Ski Nautique C...";"25FRA027";"";"https://ems.iwwf.sport/Competitions/Details?Id=2021dc94-bee1-4d68-b644-6e8222320b20"
"23-24 Aug 2025";"Waterski";"INTER";"L";"FRA";"Austin's Cup 25";"";"Ski Nautique C...";"25FRA028";"";"https://ems.iwwf.sport/Competitions/Details?Id=a8fba7a6-0ccc-4b45-936f-938345b025db"
"20-21 Sep 2025";"Waterski";"INTER";"L";"FRA";"Jano's Cup 25";"";"Ski Nautique C...";"25FRA029";"";"https://ems.iwwf.sport/Competitions/Details?Id=57e4f0e6-5df9-4706-a900-d1882e5e10f2"
"14-15 Jun 2025";"Waterski";"INTER";"L";"FRA";"BAURECH Slalom CUP / 4 RDS";"";"Windsor Ski Cl...";"25FRA030";"";"https://ems.iwwf.sport/Competitions/Details?Id=89f14b55-2844-4cdd-b8e2-9ca8bbbe57e1"
"2-3 Aug 2025";"Waterski";"INTER";"L";"FRA";"BAURECH 3 EVENTS- RL 3 RDS/ Events";"";"Windsor Ski Cl...";"25FRA031";"";"https://ems.iwwf.sport/Competitions/Details?Id=f6df1d94-19f9-4fe7-930b-db42756b6f84"
"11-12 Oct 2025";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM SERIES 4RD";"";"Windsor Ski Cl...";"25FRA032";"";"https://ems.iwwf.sport/Competitions/Details?Id=4454fb91-e09e-4c6e-a2a6-b3868dea06f4"
"27-28 Sep 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Layrac Slalom Cup";"";"LAYRAC";"25FRA036";"";"https://ems.iwwf.sport/Competitions/Details?Id=109a3685-ab68-44ce-a376-f4f0c26ec1d3"
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"25FRA037";"";"https://ems.iwwf.sport/Competitions/Details?Id=02ef4bb8-f7f7-459d-bae4-d0e22e43ee21"
"12-13 Jul 2025";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Ski nautique M...";"25FRA206";"";"https://ems.iwwf.sport/Competitions/Details?Id=8d28cde4-47e4-45c0-b6ed-b93b47a9d93c"
"3-4 Oct 2025";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue AURA 2025";"";"Ski Caraibes A...";"25FRA208";"";"https://ems.iwwf.sport/Competitions/Details?Id=5ddce78f-0ff5-4af4-8eb7-554ffd9de7d0"
"6-7 Sep 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ch Ligue Nouvelle-Aquitaine Mémorial Michel NAUDINAT";"";"Lacanau pitrot";"25FRA213";"";"https://ems.iwwf.sport/Competitions/Details?Id=f1599bb0-e68f-4060-b0a1-edb03539df07"
"6-7 Sep 2025";"Waterski";"INTER";"L";"FRA";"New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat";"";"Lacanau Ski Cl...";"25FRA217";"";"https://ems.iwwf.sport/Competitions/Details?Id=eec95380-a4ac-4312-906e-0bdae8ce0cc0"
