Year;CompetitionCode;CompetitionName;ChampionshipBlock;PopulationGroup;Category;CategoryOrder;Sex;Event;ApprovedAll;ApprovedFrench;ApprovedForeign;FrenchDepthClass;FrenchFieldOneToThree;FrenchPodiumPlaces;FrenchPodiumWeightPercent;RawCategories;DivisionLabels
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;SLALOM;11;10;1;10+;0;3;30.0;Open M (22) | Open M (23) | Open M (27) | Open M (28) | Open M (29) | Open M (31) | Open M (33) | Open M (34) | Open M (40);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U10;10;F;SLALOM;2;1;1;1;1;1;100.0;-10 F (10) | -10 F (9);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U10;10;M;FIGURES;1;1;0;1;1;1;100.0;-10 M (10);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U10;10;M;SLALOM;1;1;0;1;1;1;100.0;-10 M (10);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U12;12;F;FIGURES;1;1;0;1;1;1;100.0;-12 F (11);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U12;12;F;SLALOM;1;1;0;1;1;1;100.0;-12 F (11);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U12;12;M;COMBINE;1;1;0;1;1;1;100.0;-12 M (11);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U12;12;M;FIGURES;2;2;0;2;1;2;100.0;-12 M (11);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U12;12;M;SAUT;1;1;0;1;1;1;100.0;-12 M (11);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U12;12;M;SLALOM;2;2;0;2;1;2;100.0;-12 M (11);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;F;COMBINE;3;3;0;3;1;3;100.0;-14 F (13) | -14 F (14);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;F;FIGURES;4;4;0;4-5;0;3;75.0;-14 F (13) | -14 F (14);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;F;SAUT;3;3;0;3;1;3;100.0;-14 F (13) | -14 F (14);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;F;SLALOM;6;5;1;4-5;0;3;60.0;-14 F (13) | -14 F (14);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;M;COMBINE;3;3;0;3;1;3;100.0;-14 M (13);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;M;FIGURES;4;4;0;4-5;0;3;75.0;-14 M (13) | -14 M (14);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;M;SAUT;3;3;0;3;1;3;100.0;-14 M (13);
2024;24FRA026;Championnat de France RELEVES;RELEVES;RELEVES;U14;14;M;SLALOM;4;4;0;4-5;0;3;75.0;-14 M (13) | -14 M (14);
2024;24FRA026;Championnat de France RELEVES;RELEVES;JUNIOR;U17;17;F;SLALOM;1;1;0;1;1;1;100.0;-17 F (16);
2024;24FRA026;Championnat de France RELEVES;RELEVES;JUNIOR;U17;17;M;COMBINE;5;5;0;4-5;0;3;60.0;-17 M (15) | -17 M (16);
2024;24FRA026;Championnat de France RELEVES;RELEVES;JUNIOR;U17;17;M;FIGURES;7;6;1;6-9;0;3;50.0;-17 M (15) | -17 M (16) | -17 M (17);
2024;24FRA026;Championnat de France RELEVES;RELEVES;JUNIOR;U17;17;M;SAUT;5;5;0;4-5;0;3;60.0;-17 M (15) | -17 M (16);
2024;24FRA026;Championnat de France RELEVES;RELEVES;JUNIOR;U17;17;M;SLALOM;7;6;1;6-9;0;3;50.0;-17 M (15) | -17 M (16) | -17 M (17);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;F;COMBINE;1;1;0;1;1;1;100.0;35+ F (37);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;F;FIGURES;1;1;0;1;1;1;100.0;35+ F (37);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;F;SAUT;1;1;0;1;1;1;100.0;35+ F (37);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;F;SLALOM;2;2;0;2;1;2;100.0;35+ F (37) | 35+ F (40);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;M;COMBINE;4;4;0;4-5;0;3;75.0;35+ M (39) | 35+ M (44) | 35+ M (46);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;M;FIGURES;4;4;0;4-5;0;3;75.0;35+ M (39) | 35+ M (44) | 35+ M (46);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;M;SAUT;5;5;0;4-5;0;3;60.0;35+ M (39) | 35+ M (41) | 35+ M (44) | 35+ M (46);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;35+;35;M;SLALOM;6;6;0;6-9;0;3;50.0;35+ M (39) | 35+ M (44) | 35+ M (45) | 35+ M (46);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;F;COMBINE;2;2;0;2;1;2;100.0;45+ F (46) | 45+ F (49);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;F;FIGURES;3;3;0;3;1;3;100.0;45+ F (46) | 45+ F (49) | 45+ F (53);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;F;SAUT;2;2;0;2;1;2;100.0;45+ F (46) | 45+ F (49);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;F;SLALOM;3;3;0;3;1;3;100.0;45+ F (46) | 45+ F (49) | 45+ F (53);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;M;COMBINE;4;4;0;4-5;0;3;75.0;45+ M (48) | 45+ M (49) | 45+ M (52);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;M;FIGURES;4;4;0;4-5;0;3;75.0;45+ M (48) | 45+ M (49) | 45+ M (52);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;M;SAUT;5;5;0;4-5;0;3;60.0;45+ M (48) | 45+ M (49) | 45+ M (52) | 45+ M (54);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;45+;45;M;SLALOM;10;10;0;10+;0;3;30.0;45+ M (48) | 45+ M (49) | 45+ M (51) | 45+ M (52) | 45+ M (53) | 45+ M (54) | 45+ M (55);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;55+;55;F;SLALOM;3;3;0;3;1;3;100.0;55+ F (58) | 55+ F (65) | 55+ F (66);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;55+;55;M;COMBINE;2;2;0;2;1;2;100.0;55+ M (62) | 55+ M (63);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;55+;55;M;FIGURES;3;3;0;3;1;3;100.0;55+ M (62) | 55+ M (63) | 55+ M (65);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;55+;55;M;SAUT;2;2;0;2;1;2;100.0;55+ M (62) | 55+ M (63);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;55+;55;M;SLALOM;6;6;0;6-9;0;3;50.0;55+ M (61) | 55+ M (62) | 55+ M (63) | 55+ M (65);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;65+;65;M;COMBINE;1;1;0;1;1;1;100.0;65+ M (67);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;65+;65;M;FIGURES;1;1;0;1;1;1;100.0;65+ M (67);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;65+;65;M;SAUT;1;1;0;1;1;1;100.0;65+ M (67);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;65+;65;M;SLALOM;2;2;0;2;1;2;100.0;65+ M (66) | 65+ M (67);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;70+;70;M;FIGURES;1;1;0;1;1;1;100.0;70+ M (72);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;70+;70;M;SLALOM;2;2;0;2;1;2;100.0;70+ M (71) | 70+ M (72);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;75+;75;M;FIGURES;1;1;0;1;1;1;100.0;75+ M (78);
2024;24FRA034;Championnat de France SENIOR;SENIOR;SENIOR;75+;75;M;SLALOM;2;2;0;2;1;2;100.0;75+ M (77) | 75+ M (78);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;F;COMBINE;2;2;0;2;1;2;100.0;-21 F (17) | -21 F (21);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;F;FIGURES;3;3;0;3;1;3;100.0;-21 F (14) | -21 F (17) | -21 F (21);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;F;SAUT;2;2;0;2;1;2;100.0;-21 F (17) | -21 F (21);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;F;SLALOM;5;2;3;2;1;2;100.0;-21 F (17) | -21 F (18) | -21 F (19) | -21 F (20) | -21 F (21);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;M;COMBINE;1;1;0;1;1;1;100.0;-21 M (20);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;M;FIGURES;1;1;0;1;1;1;100.0;-21 M (20);
