Year;CompetitionCode;ChampionshipBlock;PopulationGroup;Category;Sex;Event;ApprovedFrench;ClassifiedFrench;DifferenceClassifiedMinusApproved;ClassificationCoveragePercent;Status
2025;25FRA016;RELEVES;JUNIOR;U17;F;SLALOM;2;3;1;150.0;CLASSIFIED_HIGHER
2025;25FRA016;RELEVES;JUNIOR;U17;M;COMBINE;5;4;-1;80.0;CLASSIFIED_LOWER
2025;25FRA016;RELEVES;JUNIOR;U17;M;FIGURES;5;5;0;100.0;MATCH
2025;25FRA016;RELEVES;JUNIOR;U17;M;SAUT;5;4;-1;80.0;CLASSIFIED_LOWER
2025;25FRA016;RELEVES;JUNIOR;U17;M;SLALOM;6;6;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U10;F;FIGURES;1;0;-1;0.0;EMS_ONLY
2025;25FRA016;RELEVES;RELEVES;U10;F;SLALOM;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U10;M;SLALOM;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;F;COMBINE;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;F;FIGURES;2;3;1;150.0;CLASSIFIED_HIGHER
2025;25FRA016;RELEVES;RELEVES;U12;F;SAUT;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;F;SLALOM;3;3;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;M;COMBINE;3;3;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;M;FIGURES;3;3;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;M;SAUT;3;3;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U12;M;SLALOM;3;3;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;F;COMBINE;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;F;FIGURES;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;F;SAUT;1;1;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;F;SLALOM;2;2;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;M;COMBINE;2;2;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;M;FIGURES;2;2;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;M;SAUT;2;2;0;100.0;MATCH
2025;25FRA016;RELEVES;RELEVES;U14;M;SLALOM;3;3;0;100.0;MATCH
2025;25FRA018;SENIOR;SENIOR;35+;F;COMBINE;1;1;0;100.0;MATCH
