"Year";"ChampionshipBlock";"PopulationGroup";"Event";"ObservedFields";"FrenchFieldParticipations";"MeanFieldSize";"FieldsOneToThree";"ShareFieldsOneToThreePercent";"PodiumWeightPercent"
"2026";"RELEVES";"JUNIOR";"SAUT";"2";"5";"2,5";"2";"100";"100"
"2026";"RELEVES";"JUNIOR";"SLALOM";"2";"10";"5";"0";"0";"60"
"2026";"RELEVES";"RELEVES";"COMBINE";"5";"8";"1,6";"4";"80";"87,5"
"2026";"RELEVES";"RELEVES";"FIGURES";"7";"15";"2,14";"6";"85,7";"86,7"
"2026";"RELEVES";"RELEVES";"SAUT";"5";"8";"1,6";"4";"80";"87,5"
"2026";"RELEVES";"RELEVES";"SLALOM";"6";"20";"3,33";"4";"66,7";"80"
"2026";"SENIOR";"SENIOR";"FIGURES";"2";"2";"1";"2";"100";"100"
"2026";"SENIOR";"SENIOR";"SLALOM";"6";"13";"2,17";"6";"100";"100"
"2026";"U21_OPEN";"OPEN";"COMBINE";"2";"4";"2";"2";"100";"100"
"2026";"U21_OPEN";"OPEN";"FIGURES";"2";"6";"3";"1";"50";"66,7"
"2026";"U21_OPEN";"OPEN";"SAUT";"2";"4";"2";"2";"100";"100"
"2026";"U21_OPEN";"OPEN";"SLALOM";"2";"10";"5";"0";"0";"60"
"2026";"U21_OPEN";"U21";"COMBINE";"1";"4";"4";"0";"0";"75"
"2026";"U21_OPEN";"U21";"FIGURES";"2";"6";"3";"1";"50";"66,7"
"2026";"U21_OPEN";"U21";"SAUT";"1";"4";"4";"0";"0";"75"
"2026";"U21_OPEN";"U21";"SLALOM";"1";"7";"7";"0";"0";"42,9"
