Year;ChampionshipBlock;PopulationGroup;Sex;Event;ObservedFields;FrenchFieldParticipations;MeanFieldSize;MedianFieldSize;FieldsOneToThree;ShareFieldsOneToThreePercent;PodiumWeightPercent
2026;U21_OPEN;OPEN;F;SAUT;1;3;3;3;1;100.0;100.0
2026;U21_OPEN;OPEN;F;SLALOM;1;6;6;6;0;0.0;50.0
2026;U21_OPEN;OPEN;M;COMBINE;1;1;1;1;1;100.0;100.0
2026;U21_OPEN;OPEN;M;FIGURES;1;1;1;1;1;100.0;100.0
2026;U21_OPEN;OPEN;M;SAUT;1;1;1;1;1;100.0;100.0
2026;U21_OPEN;OPEN;M;SLALOM;1;4;4;4;0;0.0;75.0
2026;U21_OPEN;U21;F;FIGURES;1;1;1;1;1;100.0;100.0
2026;U21_OPEN;U21;M;COMBINE;1;4;4;4;0;0.0;75.0
2026;U21_OPEN;U21;M;FIGURES;1;5;5;5;0;0.0;60.0
2026;U21_OPEN;U21;M;SAUT;1;4;4;4;0;0.0;75.0
2026;U21_OPEN;U21;M;SLALOM;1;7;7;7;0;0.0;42.9
