Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;Sex;Event;ClassifiedAll;ClassifiedFrench;ClassifiedForeign
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;M;FIGURES;4;4;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;M;SAUT;3;3;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;M;SLALOM;10;9;1
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;F;COMBINE;4;4;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;F;FIGURES;4;4;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;F;SAUT;4;4;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;F;SLALOM;4;4;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;M;COMBINE;3;3;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;M;FIGURES;4;4;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;M;SAUT;6;6;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;U21;U21;M;SLALOM;8;8;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U10;F;SLALOM;2;1;1
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U10;M;FIGURES;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U10;M;SLALOM;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U12;F;FIGURES;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U12;F;SLALOM;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U12;M;COMBINE;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U12;M;FIGURES;2;2;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U12;M;SAUT;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U12;M;SLALOM;2;2;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;F;COMBINE;3;3;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;F;FIGURES;4;4;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;F;SAUT;3;3;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;F;SLALOM;6;5;1
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;M;COMBINE;3;3;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;M;FIGURES;4;4;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;M;SAUT;3;3;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;RELEVES;U14;M;SLALOM;4;4;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;JUNIOR;U17;F;SLALOM;1;1;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;JUNIOR;U17;M;COMBINE;5;5;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;JUNIOR;U17;M;FIGURES;7;6;1
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;JUNIOR;U17;M;SAUT;5;5;0
2024;24FRA026;Championnat de France RELEVES;RELEVES;1;JUNIOR;U17;M;SLALOM;7;6;1
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;35+;F;FIGURES;1;1;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;35+;F;SLALOM;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;35+;M;COMBINE;4;4;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;35+;M;FIGURES;4;4;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;35+;M;SAUT;5;5;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;35+;M;SLALOM;6;6;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;F;COMBINE;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;F;FIGURES;3;3;0
