"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"2 Jun 2024";"Waterski";"INTER";"L";"FRA";"PITROT 1 DAY";"";"Lacanau Ski Cl...";"24FRA019";"";"https://ems.iwwf.sport/Competitions/Details?Id=4ec3d1fc-2f42-4bee-83ec-4b1833000aab"
"24-25 Aug 2024";"Waterski";"INTER";"L";"FRA";"Saint Pardoux Cup";"";"St Pardoux";"24FRA020";"";"https://ems.iwwf.sport/Competitions/Details?Id=266d91f5-94c1-4b9a-b5ad-6e879262bb63"
"15-16 Jun 2024";"Waterski";"INTER";"L";"FRA";"Tours 3D event";"";"Touraine Ski ...";"24FRA021";"";"https://ems.iwwf.sport/Competitions/Details?Id=ea0e51b9-201e-468f-8960-7a2161ed3495"
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"NL";"FRA";"Championnat de ligue OCC Ski Classique";"";"Blagnac Ski Na...";"24FRA022";"";"https://ems.iwwf.sport/Competitions/Details?Id=1bd597db-457d-46ff-9347-62533175ca4b"
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 24";"";"Ski Nautique C...";"24FRA023";"";"https://ems.iwwf.sport/Competitions/Details?Id=85f6ee1e-5cd5-4966-9820-aaa4d308caf7"
"17-18 Aug 2024";"Waterski";"INTER";"L";"FRA";"Austin's Cup 24";"";"Ski Nautique C...";"24FRA024";"";"https://ems.iwwf.sport/Competitions/Details?Id=ea4f26b3-0a6c-4e13-bdbb-3349e03c1f9e"
"21-22 Sep 2024";"Waterski";"INTER";"L";"FRA";"Jano's Cup 24";"";"Ski Nautique C...";"24FRA025";"";"https://ems.iwwf.sport/Competitions/Details?Id=ba1e66ca-90bd-4048-98d0-e5514c0f4eb1"
"12-14 Jul 2024";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES";"";"Ski Nautique C...";"24FRA026";"";"https://ems.iwwf.sport/Competitions/Details?Id=61f747cd-3997-4c9b-8fee-b697c5cce2af"
"16-17 Jul 2024";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Ski Nautique C...";"24FRA027";"";"https://ems.iwwf.sport/Competitions/Details?Id=d2ae0560-ece1-45c9-a4f8-af0249425580"
"1-2 Jun 2024";"Waterski";"INTER";"L";"FRA";"Ezylake's cup";"";"Ezylake";"24FRA028";"";"https://ems.iwwf.sport/Competitions/Details?Id=0336de20-f7c3-4235-bbd4-69e06b19b0ba"
"21-22 Sep 2024";"Waterski";"INTER";"L";"FRA";"Biggie's international";"";"Ezylake";"24FRA029";"";"https://ems.iwwf.sport/Competitions/Details?Id=793b08f1-6eae-408c-913d-01a210704cd8"
"27-28 Jul 2024";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"24FRA030";"";"https://ems.iwwf.sport/Competitions/Details?Id=29e20121-c73f-49ae-b35d-3d4c19d221f1"
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"L";"FRA";"Magic Trophy";"";"Nemours Grez/l...";"24FRA031";"";"https://ems.iwwf.sport/Competitions/Details?Id=56a97ebb-a65f-43e7-a323-d065bfa98aee"
"28-29 Sep 2024 CANCELLED";"Waterski";"NatCH";"N";"FRA";"Championnat de France Interligues";"";"TO BE DEFINED";"24FRA032";"";"https://ems.iwwf.sport/Competitions/Details?Id=0757b228-2f8a-4cd6-a75d-562805ea0522"
"29-30 Jun 2024 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue IDF";"";"Club Nautique ...";"24FRA033";"";"https://ems.iwwf.sport/Competitions/Details?Id=938305d7-c975-4fa5-b4a4-da4956eef972"
"13-14 Jul 2024";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR";"";"Ski Nautique M...";"24FRA034";"";"https://ems.iwwf.sport/Competitions/Details?Id=cf8b4a9b-b178-4d2f-912f-d275a2c6af1b"
"9 Jun 2024 CANCELLED";"Waterski";"INTER";"L";"FRA";"PITROT BIS 1 DAY";"";"Lacanau Ski Cl...";"24FRA035";"";"https://ems.iwwf.sport/Competitions/Details?Id=6535e8ee-9b9a-45bf-ae8e-e622eedeb690"
"8-9 Jun 2024";"Waterski";"INTER";"L";"FRA";"Magic Challenge";"";"Nemours Grez/l...";"24FRA036";"";"https://ems.iwwf.sport/Competitions/Details?Id=e19986a3-9d59-451c-ad0c-c7bfcb6a662b"
"5-6 Oct 2024";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D";"";"Club Omnisport...";"24FRA039";"";"https://ems.iwwf.sport/Competitions/Details?Id=ce0777a0-9dec-43a7-90ad-29c37eb3d9d9"
